Name,Mid_Score,Final_Score
A1,28,8
A2,29,4
A3,32,15
A4,28,13
A5,7,25
A6,3,10
A7,15,38
A8,32,44
A9,20,10
A10,38,46
A11,40,42
A12,40,30
A13,20,45
A14,17,46
A15,43,35
A16,33,20
A17,17,39
A18,17,40
A19,12,9
A20,29,40
A21,2,16
A22,22,35
A23,14,41
A24,33,20
A25,6,47
A26,46,42
A27,8,2
A28,1,33
A29,14,8
A30,39,6
A31,39,39
A32,41,38
A33,13,20
A34,35,41
A35,19,22
A36,41,21
A37,3,33
A38,50,5
A39,34,5
A40,49,30
A41,50,43
A42,33,0
A43,2,13
A44,35,24
A45,14,16
A46,17,1
A47,50,20
A48,0,39
A49,6,21
A50,24,47
A51,0,26
A52,43,41
A53,16,10
A54,48,1
A55,37,46
A56,28,34
A57,13,29
A58,44,31
A59,41,30
A60,41,39
A61,37,43
A62,33,9
A63,8,9
A64,12,48
A65,36,12
A66,33,9
A67,34,42
A68,19,40
A69,42,0
A70,22,32
A71,36,29
A72,33,41
A73,14,20
A74,35,9
A75,29,37
A76,20,1
A77,14,42
A78,38,43
A79,49,38
A80,9,37
A81,15,38
A82,2,22
A83,9,24
A84,45,1
A85,27,20
A86,30,6
A87,7,34
A88,2,25
A89,25,38
A90,23,12
A91,12,4
A92,10,30
A93,15,4
A94,46,42
A95,9,8
A96,43,36
A97,30,21
A98,39,2
A99,49,17
A100,15,11
